Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,1,eng ENG,DF,eng Premier League,25-079,2000,3,86,29,3.3,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.74,2.3,0.3,+2.0,+2.12,1,eng ENG,DF,eng Premier League,25-079,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25.0,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,2,eng ENG,MF,es La Liga,25-079,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,eng ENG,MF,es La Liga,25-079,2000,0.3,14,18,77.8,222,48,0,0.0,0.0,0.0,0,1,0,0,2,2,eng ENG,MF,es La Liga,25-079,2000,0.3,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0,2,eng ENG,MF,es La Liga,25-079,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,2,eng ENG,MF,es La Liga,25-079,2000,0.3,1,1,0,1,0,1,100.0,0,1,0,1,0,1,0,0,2,eng ENG,MF,es La Liga,25-079,2000,0.3,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,2,eng ENG,MF,es La Liga,25-079,2000,1,31,31,1.2,0.3,0,,0,1,31,8,0.00,0,2,-2,-5.81,-5.34,0.9,0.6,+0.4,+1.10,2,eng ENG,MF,es La Liga,25-079,2000,0.3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.10,3,es ESP,DF,es La Liga,21-316,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,3,es ESP,DF,es La Liga,21-316,2003,0.7,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,3,es ESP,DF,es La Liga,21-316,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,3,es ESP,DF,es La Liga,21-316,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,3,es ESP,DF,es La Liga,21-316,2003,0.7,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,3,es ESP,DF,es La Liga,21-316,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,4,es ESP,DF,es La Liga,21-316,2003,1,65,65,2.6,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-0.87,1.4,0.7,+0.7,+0.93,3,es ESP,DF,es La Liga,21-316,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,James Abankwah,ie IRL,""DF,MF"",Udinese,it Serie A,21.0,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.06,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,5,ie IRL,""DF,MF"",it Serie A,21-067,2004,6,88,15,3.4,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.26,0.6,1.5,-0.9,-0.91,4,ie IRL,""DF,MF"",it Serie A,21-067,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,7,fr FRA,FW,fr Ligue 1,18-353,2006,1,3,3,0.1,0.0,0,,0,1,3,7,3.00,0,0,0,0.00,-0.77,0.0,0.0,0.0,-0.49,5,fr FRA,FW,fr Ligue 1,18-353,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.03,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,0,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,432,498,86.7,7860,2367,0,0.1,0.3,-0.1,2,27,0,0,22,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,498,456,40,20,0,0,0,1,0,0,0,0,432,2,1,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,6,0.55,5,1,0,0,0,0,0,0.00,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,17,11,15,2,0,16,62.5,6,24,17,7,13,30,56,1,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,8,ma MAR,DF,fr Ligue 1,37-177,1987,12,976,81,42.5,10.8,11,85,9,1,40,12,0.46,4,31,-27,-2.49,-2.15,8.0,26.3,-18.3,-1.68,6,ma MAR,DF,fr Ligue 1,37-177,1987,10.8,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,Himad Abdelli,dz ALG,""MF,FW"",Angers,fr Ligue 1,25.0,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,86,167,94,0.16,0.35,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,6,24,6,25.0,0.97,0.24,0.13,0.50,24.1,0,3,4,5.6,2.5,0.10,+0.4,+0.5,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,1126,1363,82.6,17293,4685,1,2.9,2.9,-1.9,32,130,31,2,167,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,1363,1263,92,34,20,8,37,13,8,4,2,0,1126,8,25,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,74,3.00,63,2,3,1,3,2,2,0.08,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,37,25,8,16,13,37,35.1,24,16,0,16,19,56,20,1,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,86,71,16,43,36,1185,94,10,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,25,2222,89,95.0,24.7,25,89,20,0,,0,0.96,22,42,-20,-0.81,-3.86,25.9,42.3,-16.5,-0.67,7,dz ALG,""MF,FW"",fr Ligue 1,25-127,1999,24.7,3,0,0,38,30,2,37,19,25,0,0,0,137,12,18,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,291,332,87.7,5339,1686,0,0.0,0.1,0.0,0,15,1,0,26,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,332,313,19,15,0,6,0,2,0,0,0,0,291,0,1,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,3,0.44,3,0,0,0,0,0,0,0.00,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,17,12,11,5,1,18,61.1,7,6,3,3,13,30,39,1,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3,11,eg EGY,DF,fr Ligue 1,26-051,1999,9,609,68,26.0,6.8,7,84,6,2,12,11,1.89,10,10,0,0.00,-0.99,10.9,8.6,+2.3,+0.35,8,eg EGY,DF,fr Ligue 1,26-051,1999,6.8,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9,Ali Abdi,tn TUN,""DF,MF"",Nice,fr Ligue 1,31.0,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.38,0.24,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,2,16,5,31.3,1.53,0.48,0.13,0.40,19.8,0,0,0,1.2,1.2,0.07,+0.8,+0.8,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,333,450,74.0,5186,1777,2,1.4,1.2,+0.6,13,11,13,3,29,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,450,368,78,9,0,2,26,69,0,0,0,0,333,4,11,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,29,2.77,20,3,3,2,0,1,2,0.19,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,25,16,10,9,6,31,61.3,12,17,4,13,11,36,28,0,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,27,9,8,20,10,321,59,12,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,18,942,52,40.3,10.5,11,79,5,7,10,0,1.83,17,9,+8,+0.76,+0.06,17.6,10.8,+6.8,+0.65,9,tn TUN,""DF,MF"",fr Ligue 1,31-094,1993,10.5,1,0,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.44,0.09,10,sa KSA,DF,it Serie A,25-249,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,10,sa KSA,DF,it Serie A,25-249,1999,2.3,118,136,86.8,1766,368,1,0.2,0.2,+0.8,2,4,4,2,9,10,sa KSA,DF,it Serie A,25-249,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,10,sa KSA,DF,it Serie A,25-249,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,10,sa KSA,DF,it Serie A,25-249,1999,2.3,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,10,sa KSA,DF,it Serie A,25-249,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,13,sa KSA,DF,it Serie A,25-249,1999,4,205,51,7.9,2.3,2,62,0,2,41,23,1.50,4,1,+3,+1.32,+0.91,3.6,1.5,+2.1,+0.92,10,sa KSA,DF,it Serie A,25-249,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
